split,sample_id,pc1,pc2,feature_norm,target_value,prompt_token_count,effective_max_tokens,mean_length,mean_relative_length,mu_log_rel,p_cap,p_loop,correct_rate,rollout_count,prompt_preview
test,0,-7.371731758117676,-2.7741892337799072,134.15692138671875,0.0,156,30000,5596.1,0.18653666666666668,0.1674062183938736,0.0,0.0,0.7,10,"<|im_start|>user Two quantum states with energies E1 and E2 have a lifetime of 10^-9 sec and 10^-8 sec, respectively...."
test,1,5.432455062866211,4.654406547546387,134.56993103027344,0.0,163,30000,7261.5,0.24205000000000002,0.21642748577933357,0.0,0.4,0.1,10,"<|im_start|>user trans-cinnamaldehyde was treated with methylmagnesium bromide, forming product 1. 1 was treated with..."
test,5,-7.288684368133545,3.433398962020874,135.839599609375,0.5,207,30000,23329.0,0.7776333333333334,0.5671200786609025,0.5,1.0,0.0,10,"<|im_start|>user A quantum mechanical particle of mass m moves in two dimensions in the following potential, as a fun..."
test,7,4.578364372253418,-1.7805252075195312,132.6995391845703,0.0,479,30000,8330.6,0.27768666666666664,0.244342268704348,0.0,0.7,0.0,10,<|im_start|>user You perform a high-throughput experiment on white lupine to find genes contributing to resistance to...
test,11,-6.082462310791016,3.7262909412384033,134.52084350585938,0.0,182,30000,4842.9,0.16143000000000002,0.1487885247083353,0.0,0.0,1.0,10,"<|im_start|>user Find KE of product particles in, Pi(+) = mu(+) + nu here Pi(+) is stationary. Rest mass of Pi(+) & m..."
test,12,8.457109451293945,2.964627981185913,134.8990936279297,0.0,348,30000,7002.1,0.23340333333333332,0.20939284605966596,0.0,0.1,0.0,10,<|im_start|>user A methanol solution of (R)-(+)-Limonene is stirred with Pd/C under a Hydrogen atmosphere. After 1 eq...
test,14,-2.8380966186523438,-0.3330974876880646,133.68014526367188,0.10000000149011612,310,30000,11498.7,0.38329,0.31468066280781215,0.1,0.9,0.1,10,<|im_start|>user Researchers are attempting to detect transits of two Earth-like planets: Planet_1 and Planet_2. They...
test,20,6.8856987953186035,-2.67262601852417,134.40586853027344,0.10000000149011612,285,30000,13008.9,0.43362999999999996,0.3524733667762175,0.1,0.9,0.1,10,<|im_start|>user Compounds that have the same molecular formula but are different in their structural arrangement are...
test,23,3.523080348968506,4.4689621925354,133.71485900878906,0.0,233,30000,11873.3,0.39577666666666667,0.33316834075813484,0.0,0.2,0.0,10,"<|im_start|>user If an equimolar mixture X of two liquids, which decolorizes bromine water, is treated with platinum ..."
test,28,1.3892990350723267,-5.396817684173584,136.12802124023438,0.6000000238418579,411,30000,22368.2,0.7456066666666666,0.539895213208285,0.6,0.9,0.0,10,"<|im_start|>user You have an interesting drought-resistant cultivar of barley, which, unfortunately, contains an anti..."
test,33,4.505465030670166,-1.2316021919250488,133.63185119628906,0.10000000149011612,480,30000,11548.6,0.38495333333333337,0.31619897509554945,0.1,0.2,0.0,10,"<|im_start|>user ""1,2-Rearrangement reaction in which vicinal diols are allowed to react with acid is called Pinacol ..."
test,36,7.3823652267456055,6.860532283782959,135.01205444335938,0.0,171,30000,6457.4,0.21524666666666667,0.19446692084153502,0.0,0.3,0.6,10,"<|im_start|>user Identify the number of 13C-NMR signals produced by the final product, denoted as E, resulting from t..."
test,42,7.253256320953369,0.6633298397064209,135.2696533203125,0.0,278,30000,12055.7,0.40185666666666664,0.33662602350245846,0.0,0.3,0.1,10,<|im_start|>user A benzene ring has a carboxylic acid a carbaldehyde and a cyano group all meta to one another. Ortho...
test,44,-3.454078435897827,-0.18615615367889404,135.76817321777344,0.0,188,30000,8787.2,0.29290666666666665,0.2540175265784062,0.0,0.6,0.9,10,<|im_start|>user Four identical spin-1/2 particles are placed in a one-dimensional infinite potential well of length ...
test,46,4.467349529266357,0.4126976430416107,133.69371032714844,0.30000001192092896,226,30000,16263.5,0.5421166666666667,0.4154212752211697,0.3,0.5,0.1,10,<|im_start|>user Identify the compound C9H11NO2 using the given data. IR: medium to strong intensity bands at 3420 cm...
test,47,5.971863746643066,7.43684196472168,134.05734252929688,0.0,163,30000,9230.0,0.30766666666666664,0.26724936594363236,0.0,0.2,0.9,10,"<|im_start|>user cyclohexanone was treated with bromine, forming product 1. 1 was heated with sodium hydroxide, formi..."
train,2,-7.385384559631348,3.944695234298706,135.2249755859375,0.0,187,30000,6555.7,0.21852333333333332,0.18729818879014457,0.0,0.1,1.0,10,<|im_start|>user A spin-half particle is in a linear superposition 0.5|\uparrow\rangle+sqrt(3)/2|\downarrow\rangle of...
train,3,-4.717289447784424,-4.004043102264404,139.01388549804688,0.0,161,30000,1418.1,0.04727,0.04611976301094313,0.0,0.0,0.0,10,"<|im_start|>user In a parallel universe where a magnet can have an isolated North or South pole, Maxwell’s equations ..."
train,4,-7.340160369873047,1.8738499879837036,136.6878662109375,0.0,393,30000,13081.6,0.4360533333333333,0.35956439119318767,0.0,0.6,0.4,10,<|im_start|>user Calculate the eigenvector of a quantum mechanical operator $\vec{P}$ for a muon along an arbitrary d...
train,6,-7.52345085144043,1.8882286548614502,135.03067016601562,0.10000000149011612,199,30000,12922.5,0.43075,0.34905638112295334,0.1,0.9,0.6,10,<|im_start|>user The universe is filled with the Cosmic Microwave Background. Consider the annihilation of high energ...
train,8,1.4658966064453125,-6.433079242706299,134.8136444091797,0.0,270,30000,2422.0,0.08073333333333334,0.0775376363176176,0.0,0.0,0.1,10,"<|im_start|>user which of the following molecules has c3h symmetry? triisopropyl borate quinuclidine benzo[1,2-c:3,4-..."
train,9,-4.550025939941406,-0.20370662212371826,133.0660400390625,0.0,156,30000,3808.7,0.12695666666666666,0.11830620945633648,0.0,0.0,0.3,10,"<|im_start|>user Among the following exoplanets, which one has the highest density? a) An Earth-mass and Earth-radius..."
train,10,2.731039047241211,-11.012778282165527,133.77096557617188,0.0,407,30000,927.3,0.030910000000000003,0.03040751034381071,0.0,0.0,1.0,10,<|im_start|>user All the following statements about the molecular biology of Severe Acute Respiratory Syndrome Corona...
